text1,text2,similarity
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,0.820000
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,apple juiced sour безалкогольний зб,0.450000
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,juiced lemonade peach безалкогольний зб,0.280000
eнepгeтичний жб зі нaпій смаком яблукоківі,безалкогольний енергетичний жб напій сильногазований,0.470000
eнepгeтичний maracuja spritz бeзaлкoгoльний гaзoвaний жб нaпій,eнepгeтичний sparkler бeзaлкoгoльний винограду гaзoвaний жб зі нaпій смаком,0.790000
classic plus безалкогольний газований енергетичний напій,eнepгeтичний sparkler бeзaлкoгoльний винограду гaзoвaний жб зі нaпій смаком,0.220000
classic plus безалкогольний газований енергетичний напій,eнepгeтичний maracuja spritz бeзaлкoгoльний гaзoвaний жб нaпій,0.230000
classic plus безалкогольний газований енергетичний напій,асорті безалкогольний зб зі сильногазований смаком фруктів,0.150000
eнepгeтичний silver нaпій пет,eнepгeтичний power бeзaлкoгoльний жб нaпій,0.630000
безалкогольний виноград енергетичний жб напій сильногазований,energy безаолкогольни виноград зб,0.300000
безалкогольний вишня енергетичний жб напій сильногазований,energy безаолкогольни вишня зб,0.250000
безалкогольний вишня енергетичний жб напій сильногазований,безалкогольний виноград енергетичний жб напій сильногазований,0.840000
black cherry kiwi безалкогольний зб,fruit punch venom безалкогольний зб,0.240000
original безалкогольний зб,fruit punch venom безалкогольний зб,0.240000
original безалкогольний зб,black cherry kiwi безалкогольний зб,0.240000
mango безалкогольний зб,fruit punch venom безалкогольний зб,0.180000
mango безалкогольний зб,black cherry kiwi безалкогольний зб,0.090000
mango безалкогольний зб,original безалкогольний зб,0.150000
original без безалкогольний зб цукру,original безалкогольний зб,0.620000
original без безалкогольний зб цукру,fruit punch venom безалкогольний зб,0.230000
original без безалкогольний зб цукру,black cherry kiwi безалкогольний зб,0.170000
original без безалкогольний зб цукру,mango безалкогольний зб,0.090000
watermelonstrawberry безалкогольний газований зб,mango безалкогольний газований зб,0.160000
безалкогольний зб кавунполуниця,безалкогольний зб манго,0.330000
cherry wild безалкогольний газований зб,mango безалкогольний газований зб,0.000000
cherry wild безалкогольний газований зб,watermelonstrawberry безалкогольний газований зб,0.260000
black punch wild безалкогольний зб,безалкогольний зб манго,0.000000
black punch wild безалкогольний зб,безалкогольний зб кавунполуниця,0.000000
energy original безаолкогольни зб,energy безаолкогольни вишня зб,0.740000
energy original безаолкогольни зб,energy безаолкогольни виноград зб,0.700000
mojito безалкогольний газований зб,original безалкогольний газований зб,0.290000
sugar zero безалкогольний газований зб,original безалкогольний газований зб,0.220000
sugar zero безалкогольний газований зб,mojito безалкогольний газований зб,0.130000
sex безалкогольний газований зб,original безалкогольний газований зб,0.000000
sex безалкогольний газований зб,mojito безалкогольний газований зб,0.000000
sex безалкогольний газований зб,sugar zero безалкогольний газований зб,0.310000
after alcohol безалкогольний зб,original безалкогольний газований зб,0.290000
after alcohol безалкогольний зб,mojito безалкогольний газований зб,0.210000
after alcohol безалкогольний зб,sugar zero безалкогольний газований зб,0.350000
after alcohol безалкогольний зб,sex безалкогольний газований зб,0.130000
безалкогольний воля журавлина зб,безалкогольний воля зб ківіполуниця,0.520000
безалкогольний воля журавлина зб,безалкогольний воля зб середньогазований,0.500000
безалкогольний воля журавлина зб,воля зб мікс ягідний,0.390000
безалкогольний воля зб мангоапельсин,безалкогольний воля зб ківіполуниця,0.460000
безалкогольний воля зб мангоапельсин,безалкогольний воля зб середньогазований,0.500000
безалкогольний воля зб мангоапельсин,безалкогольний воля журавлина зб,0.560000
безалкогольний воля зб мангоапельсин,воля зб мікс ягідний,0.460000
strawberrybanana безалкогольний газований зб,black cherry безалкогольний газований зб,0.360000
strawberrybanana безалкогольний газований зб,berry goji безалкогольний газований зб,0.380000
peachlemon безалкогольний газований зб,black cherry безалкогольний газований зб,0.360000
peachlemon безалкогольний газований зб,berry goji безалкогольний газований зб,0.200000
peachlemon безалкогольний газований зб,strawberrybanana безалкогольний газований зб,0.230000
apple green безалкогольний газований зб,black cherry безалкогольний газований зб,0.260000
apple green безалкогольний газований зб,berry goji безалкогольний газований зб,0.290000
apple green безалкогольний газований зб,strawberrybanana безалкогольний газований зб,0.300000
apple green безалкогольний газований зб,peachlemon безалкогольний газований зб,0.380000
strong watermelon безалкогольний зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.060000
strong watermelon безалкогольний зб,classic plus безалкогольний газований енергетичний напій,0.140000
multi безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.130000
multi безалкогольний газований зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.000000
multi безалкогольний газований зб,strong watermelon безалкогольний зб,0.180000
grapefruit groovy безалкогольний зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.060000
grapefruit groovy безалкогольний зб,classic plus безалкогольний газований енергетичний напій,0.190000
grapefruit groovy безалкогольний зб,strong watermelon безалкогольний зб,0.290000
grapefruit groovy безалкогольний зб,multi безалкогольний газований зб,0.180000
безалкогольний газований яблуко,classic plus безалкогольний газований енергетичний напій,0.000000
безалкогольний газований яблуко,multi безалкогольний газований зб,0.000000
безалкогольний газований яблуко,асорті безалкогольний зб зі сильногазований смаком фруктів,0.200000
безалкогольний газований яблуко,strong watermelon безалкогольний зб,0.000000
focus безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.200000
focus безалкогольний газований зб,multi безалкогольний газований зб,0.200000
focus безалкогольний газований зб,безалкогольний газований яблуко,0.000000
focus безалкогольний газований зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.000000
chillin guanabanamango безалкогольний газований,classic plus безалкогольний газований енергетичний напій,0.210000
chillin guanabanamango безалкогольний газований,multi безалкогольний газований зб,0.150000
chillin guanabanamango безалкогольний газований,безалкогольний газований яблуко,0.000000
chillin guanabanamango безалкогольний газований,focus безалкогольний газований зб,0.150000
pvp безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.070000
pvp безалкогольний газований зб,multi безалкогольний газований зб,0.000000
pvp безалкогольний газований зб,безалкогольний газований яблуко,0.000000
pvp безалкогольний газований зб,focus безалкогольний газований зб,0.000000
nova безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.070000
nova безалкогольний газований зб,multi безалкогольний газований зб,0.000000
nova безалкогольний газований зб,безалкогольний газований яблуко,0.000000
nova безалкогольний газований зб,focus безалкогольний газований зб,0.220000
ai безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.000000
ai безалкогольний газований зб,multi безалкогольний газований зб,0.000000
ai безалкогольний газований зб,безалкогольний газований яблуко,0.000000
ai безалкогольний газований зб,focus безалкогольний газований зб,0.000000
original безалкогольний,безалкогольний енергетичний жб напій сильногазований,0.000000
dark безалкогольний еnergy зб,безалкогольний енергетичний жб напій сильногазований,0.080000
dark безалкогольний еnergy зб,original безалкогольний,0.210000
apple kiwi безалкогольний,безалкогольний енергетичний жб напій сильногазований,0.080000
apple kiwi безалкогольний,original безалкогольний,0.220000
apple kiwi безалкогольний,dark безалкогольний еnergy зб,0.190000
guava безалкогольний зб,безалкогольний енергетичний жб напій сильногазований,0.000000
guava безалкогольний зб,original безалкогольний,0.310000
guava безалкогольний зб,dark безалкогольний еnergy зб,0.130000
guava безалкогольний зб,apple kiwi безалкогольний,0.130000
безалкогольний манго,безалкогольний енергетичний жб напій сильногазований,0.200000
безалкогольний манго,original безалкогольний,0.000000
безалкогольний манго,dark безалкогольний еnergy зб,0.000000
безалкогольний манго,apple kiwi безалкогольний,0.000000
fruit punch безалкогольний зб,безалкогольний енергетичний жб напій сильногазований,0.080000
fruit punch безалкогольний зб,original безалкогольний,0.320000
fruit punch безалкогольний зб,dark безалкогольний еnergy зб,0.270000
fruit punch безалкогольний зб,apple kiwi безалкогольний,0.100000
fire orange безалкогольний зб сильногазований,безалкогольний енергетичний жб напій сильногазований,0.080000
fire orange безалкогольний зб сильногазований,original безалкогольний,0.320000
fire orange безалкогольний зб сильногазований,dark безалкогольний еnergy зб,0.360000
fire orange безалкогольний зб сильногазований,apple kiwi безалкогольний,0.190000
без безалкогольний цукру,безалкогольний,0.000000
без безалкогольний цукру,безалкогольний зі смаком тропічних фруктів,0.230000
безалкогольний зб середньогазований,безалкогольний,0.000000
безалкогольний зб середньогазований,безалкогольний зі смаком тропічних фруктів,0.240000
безалкогольний зб середньогазований,без безалкогольний цукру,0.150000
безалкогольний зі кавуна смаком,безалкогольний,0.000000
безалкогольний зі кавуна смаком,безалкогольний зі смаком тропічних фруктів,0.170000
безалкогольний зі кавуна смаком,без безалкогольний цукру,0.270000
безалкогольний зі кавуна смаком,безалкогольний зб середньогазований,0.260000
безалкогольний,boost безалкогольний зб сильногазований,0.000000
безалкогольний,evolution fresh jungle безалкогольний зб,0.000000
безалкогольний,boost безалкогольний енергетичний жб напій сильногазований,0.000000
безалкогольний,безалкогольний енергетичний напій сильногазований,0.000000
безалкогольний зб років,безалкогольний еволюшн сильногазований фреш,0.120000
безалкогольний зб років,green stalker безалкогольний зб сильногазований,0.000000
безалкогольний зб років,boost безалкогольний зб сильногазований,0.000000
безалкогольний зб років,безалкогольний сильногазований,0.000000
green stalker безалкогольний зб сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.120000
green stalker безалкогольний зб сильногазований,evolution fresh jungle безалкогольний зб,0.340000
безалкогольний,jungle безалкогольний сильногазований,0.000000
zoom безалкогольний зб сильногазований,zoom безалкогольний енергетичний жб напій сильногазований,0.330000
zoom безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.000000
zoom безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.000000
zoom безалкогольний зб сильногазований,boost безалкогольний зб сильногазований,0.440000
zoom безалкогольний зб сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.160000
zoom безалкогольний зб сильногазований,безалкогольний енергетичний напій сильногазований,0.000000
moonlight stalker безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.600000
moonlight stalker безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.070000
moonlight stalker безалкогольний зб сильногазований,boost безалкогольний зб сильногазований,0.360000
moonlight stalker безалкогольний зб сильногазований,безалкогольний сильногазований,0.000000
ultra безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.000000
ultra безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.220000
ultra безалкогольний зб сильногазований,boost безалкогольний зб сильногазований,0.200000
ultra безалкогольний зб сильногазований,безалкогольний сильногазований,0.000000
stalker безалкоголний зб сильногазований,green stalker безалкогольний зб сильногазований,0.410000
stalker безалкоголний зб сильногазований,moonlight stalker безалкогольний зб сильногазований,0.370000
stalker безалкоголний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.240000
stalker безалкоголний зб сильногазований,boost безалкогольний зб сильногазований,0.150000
moonlight stalker безалкогольний зб сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.210000
moonlight stalker безалкогольний зб сильногазований,безалкогольний енергетичний напій сильногазований,0.000000
безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.000000
безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.000000
безалкогольний зб сильногазований,cola taste безалкогольний зб сильногазований,0.000000
frsh безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.000000
